TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,23,0.9,7,0,15,0,20:24:00,,
6.38E+13,23.3,1.3,7,0,15,0,20:24:01,,
6.38E+13,22.3,0.3,7,0,15,0.1,20:24:03,,
6.38E+13,23.3,1.3,7,0,15,0.2,20:24:04,,
6.38E+13,25.1,3.1,7,0,15,0.3,20:24:05,,
6.38E+13,26.1,4.1,7,0,15,0.1,20:24:06,,
6.38E+13,22.8,0.8,7,0,15,0,20:24:07,,0
6.38E+13,22.1,0.1,7,0,15,0.1,20:24:08,,0.1
6.38E+13,23.2,1.2,7,0,15,0.1,20:24:09,,0.1
6.38E+13,23.8,1.8,7,0,15,0.5,20:24:11,,0.5
6.38E+13,23.9,1.9,7,0,15,0,20:24:12,,0
6.38E+13,22.3,0.3,7,0,15,0,20:24:13,,0
6.38E+13,22.6,0.6,7,0,15,0,20:24:14,,0
6.38E+13,22.5,0.5,7,0,15,0,20:24:15,,0
6.38E+13,22.8,0.8,7,0,15,0,20:24:16,,0
6.38E+13,22.4,0.4,7,0,15,0,20:24:17,,0
6.38E+13,22.6,0.6,7,0,15,0,20:24:18,,0
6.38E+13,22.7,0.7,7,0,15,0,20:24:20,,0
6.38E+13,22.4,0.4,7,0,15,0,20:24:21,,0
6.38E+13,22.3,0.3,7,0,15,0,20:24:22,,0
6.38E+13,22.4,0.4,7,0,15,0,20:24:23,,0
6.38E+13,22.1,0.1,7,0,15,0,20:24:24,,0
6.38E+13,23.3,1.3,7,0,15,0,20:24:25,,0
6.38E+13,22.5,0.5,7,0,15,0,20:24:26,,0
6.38E+13,22.9,0.9,7,0,15,0,20:24:27,,0
6.38E+13,22.6,0.6,7,0,15,0,20:24:29,,0
6.38E+13,22.3,0.3,7,0,15,0,20:24:30,,0
6.38E+13,22.4,0.4,7,0,15,0,20:24:31,,0
6.38E+13,22.4,0.4,7,0,15,0,20:24:32,,0
6.38E+13,22.3,0.3,7,0,15,0,20:24:33,,0.030434783
6.38E+13,22.2,0.2,7,0,15,0,20:24:34,,
6.38E+13,22.7,0.7,7,0,15,0,20:24:35,,
6.38E+13,22.6,0.6,7,0,15,0,20:24:36,,
6.38E+13,22.5,0.5,7,0,15,0,20:24:37,,
6.38E+13,22.3,0.3,7,0,15,0,20:24:38,,
6.38E+13,22.1,0.1,7,0,15,0,20:24:40,,
6.38E+13,22.6,0.6,7,0,15,0,20:24:41,,
6.38E+13,22.4,0.4,7,0,15,0,20:24:42,,
6.38E+13,22.8,0.8,7,0,15,0,20:24:43,,
6.38E+13,22,0,7,0,15,0,20:24:44,,
6.38E+13,24,2,7,0,15,0,20:24:45,,
6.38E+13,23.1,1.1,7,0,15,0,20:24:46,,
6.38E+13,22.3,0.3,7,0,15,0,20:24:47,,
6.38E+13,22.3,0.3,7,0,15,0,20:24:48,,
6.38E+13,22.6,0.6,7,0,15,0,20:24:50,,
6.38E+13,22.4,0.4,7,0,15,0,20:24:51,,
6.38E+13,22.5,0.5,7,0,15,0,20:24:52,,
