TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,24.5,2.5,7,0.1,15,0.1,20:19:56,,
6.38E+13,24.6,2.6,7,0,15,0.1,20:19:57,,
6.38E+13,23.4,1.4,7,0,15,0.4,20:19:58,,
6.38E+13,25.2,3.2,7,0,15,0.2,20:19:59,,0.2
6.38E+13,25.1,3.1,7,0,15,0.4,20:20:00,,0.4
6.38E+13,22.4,0.4,7,0,15,0,20:20:02,,0
6.38E+13,22.6,0.6,7,0,15,0.1,20:20:03,,0.1
6.38E+13,22.6,0.6,7,0,15,0.1,20:20:04,,0.1
6.38E+13,23.3,1.3,7,0,15,0.2,20:20:05,,0.2
6.38E+13,23.8,1.8,7,0,15,0.2,20:20:06,,0.2
6.38E+13,23,1,7,0,15,0,20:20:07,,0
6.38E+13,22.7,0.7,7,0,15,0,20:20:08,,0
6.38E+13,22.8,0.8,7,0,15,0,20:20:10,,0
6.38E+13,22.4,0.4,7,0,15,0,20:20:11,,0
6.38E+13,22.3,0.3,7,0,15,0,20:20:12,,0
6.38E+13,22.5,0.5,7,0,15,0,20:20:13,,0
6.38E+13,22.5,0.5,7,0,15,0,20:20:14,,0
6.38E+13,22.6,0.6,7,0,15,0,20:20:15,,0
6.38E+13,22.5,0.5,7,0,15,0,20:20:16,,0
6.38E+13,22.6,0.6,7,0,15,0,20:20:17,,0
6.38E+13,22,0,7,0,15,0,20:20:18,,0
6.38E+13,23.2,1.2,7,0,15,0,20:20:20,,0
6.38E+13,22.4,0.4,7,0,15,0,20:20:21,,0
6.38E+13,22.8,0.8,7,0,15,0,20:20:22,,0
6.38E+13,22.1,0.1,7,0,15,0,20:20:23,,0
6.38E+13,22.7,0.7,7,0,15,0,20:20:24,,0
6.38E+13,23.1,1.1,7,0,15,0,20:20:25,,0.052173913
6.38E+13,22,0,7,0,15,0,20:20:26,,
6.38E+13,22.9,0.9,7,0,15,0,20:20:27,,
6.38E+13,22.3,0.3,7,0,15,0,20:20:29,,
6.38E+13,22.4,0.4,7,0,15,0,20:20:30,,
6.38E+13,22.3,0.3,7,0,15,0,20:20:31,,
6.38E+13,22.3,0.3,7,0,15,0,20:20:32,,
6.38E+13,22.2,0.2,7,0,15,0,20:20:33,,
6.38E+13,22.8,0.8,7,0,15,0,20:20:34,,
6.38E+13,22.6,0.6,7,0,15,0,20:20:35,,
6.38E+13,22.6,0.6,7,0,15,0,20:20:36,,
6.38E+13,22,0,7,0,15,0,20:20:37,,
6.38E+13,23.1,1.1,7,0,15,0,20:20:39,,
6.38E+13,22.1,0.1,7,0,15,0,20:20:40,,
6.38E+13,22.3,0.3,7,0,15,0,20:20:41,,
6.38E+13,22.7,0.7,7,0,15,0,20:20:42,,
6.38E+13,22,0,7,0,15,0,20:20:43,,
6.38E+13,22.7,0.7,7,0,15,0,20:20:44,,
6.38E+13,22.8,0.8,7,0,15,0,20:20:45,,
6.38E+13,22.1,0.1,7,0,15,0,20:20:46,,
6.38E+13,22.3,0.3,7,0,15,0,20:20:47,,
6.38E+13,22.4,0.4,7,0,15,0,20:20:49,,
6.38E+13,22.8,0.8,7,0,15,0,20:20:50,,
6.38E+13,22.4,0.4,7,0,15,0,20:20:51,,
6.38E+13,24.7,2.7,7,0,15,0,20:20:52,,
6.38E+13,22.2,0.2,7,0,15,0,20:20:53,,
