TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.5,0.5,7,0,15,0,20:17:45,,
6.38E+13,22.9,0.9,7,0,15,0.4,20:17:46,,
6.38E+13,24.3,2.3,7,0,15,0.2,20:17:48,,
6.38E+13,26,4,7,0,15,0.1,20:17:49,,0.1
6.38E+13,24.1,2.1,7,0,15,0.1,20:17:50,,0.1
6.38E+13,22.6,0.6,7,0,15,0.1,20:17:51,,0.1
6.38E+13,22.7,0.7,7,0,15,0.1,20:17:52,,0.1
6.38E+13,23.5,1.5,7,0,15,0.3,20:17:53,,0.3
6.38E+13,23.3,1.3,7,0,15,0,20:17:54,,0
6.38E+13,22.9,0.9,7,0,15,0,20:17:56,,0
6.38E+13,22.5,0.5,7,0,15,0,20:17:57,,0
6.38E+13,22.8,0.8,7,0,15,0,20:17:58,,0
6.38E+13,22.3,0.3,7,0,15,0,20:17:59,,0
6.38E+13,22.3,0.3,7,0,15,0,20:18:00,,0
6.38E+13,22.4,0.4,7,0,15,0,20:18:01,,0
6.38E+13,22.6,0.6,7,0,15,0,20:18:02,,0
6.38E+13,22.3,0.3,7,0,15,0,20:18:03,,0
6.38E+13,23,1,7,0,15,0,20:18:04,,0
6.38E+13,22.3,0.3,7,0,15,0,20:18:06,,0
6.38E+13,22,0,7,0,15,0,20:18:07,,0
6.38E+13,22.1,0.1,7,0,15,0,20:18:08,,0
6.38E+13,23.8,1.8,7,0,15,0,20:18:09,,0
6.38E+13,23.2,1.2,7,0,15,0,20:18:10,,0
6.38E+13,23.2,1.2,7,0,15,0,20:18:11,,0
6.38E+13,22.3,0.3,7,0,15,0,20:18:12,,0
6.38E+13,22,0,7,0,15,0,20:18:13,,0.031818182
6.38E+13,22.9,0.9,7,0,15,0,20:18:15,,
6.38E+13,22.8,0.8,7,0,15,0,20:18:16,,
6.38E+13,22,0,7,0,15,0,20:18:17,,
6.38E+13,23.1,1.1,7,0,15,0,20:18:18,,
6.38E+13,22,0,7,0,15,0,20:18:19,,
6.38E+13,22.3,0.3,7,0,15,0,20:18:20,,
6.38E+13,22.6,0.6,7,0,15,0,20:18:21,,
6.38E+13,22.7,0.7,7,0,15,0,20:18:22,,
6.38E+13,23.3,1.3,7,0,15,0,20:18:23,,
6.38E+13,22.9,0.9,7,0,15,0,20:18:25,,
