TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,25.3,3.3,7,0,15,0,20:22:04,,
6.38E+13,25.5,3.5,7,0.1,15,0.2,20:22:05,,
6.38E+13,24.2,2.2,7,0,15,0.2,20:22:06,,
6.38E+13,26.1,4.1,7,0,15,0.1,20:22:07,,0.1
6.38E+13,24.8,2.8,7,0,15,0,20:22:08,,0
6.38E+13,22.6,0.6,7,0,15,0,20:22:09,,0
6.38E+13,22.1,0.1,7,0,15,0,20:22:11,,0
6.38E+13,22.4,0.4,7,0,15,0.1,20:22:12,,0.1
6.38E+13,22.6,0.6,7,0,15,0,20:22:13,,0
6.38E+13,24.8,2.8,7,0,15,0.7,20:22:14,,0.7
6.38E+13,23.6,1.6,7,0,15,0,20:22:15,,0
6.38E+13,22.9,0.9,7,0,15,0.1,20:22:16,,0.1
6.38E+13,22.8,0.8,7,0,15,0,20:22:17,,0
6.38E+13,22,0,7,0,15,0,20:22:18,,0
6.38E+13,22.5,0.5,7,0,15,0,20:22:20,,0
6.38E+13,22.8,0.8,7,0,15,0,20:22:21,,0
6.38E+13,22.6,0.6,7,0,15,0,20:22:22,,0
6.38E+13,22,0,7,0,15,0,20:22:23,,0
6.38E+13,22.7,0.6,7,0,15,0,20:22:24,,0
6.38E+13,22.7,0.7,7,0,15,0,20:22:25,,0
6.38E+13,22,0,7,0,15,0,20:22:26,,0
6.38E+13,23.2,1.2,7,0,15,0,20:22:27,,0
6.38E+13,23,1,7,0,15,0,20:22:29,,0
6.38E+13,22.3,0.3,7,0,15,0,20:22:30,,0
6.38E+13,22.5,0.5,7,0,15,0,20:22:31,,0
6.38E+13,22.2,0.2,7,0,15,0,20:22:32,,0
6.38E+13,22.5,0.5,7,0,15,0,20:22:33,,0.043478261
6.38E+13,22.5,0.5,7,0,15,0,20:22:34,,
6.38E+13,22.2,0.2,7,0,15,0,20:22:35,,
6.38E+13,22.9,0.9,7,0,15,0,20:22:36,,
6.38E+13,22.3,0.3,7,0,15,0,20:22:37,,
6.38E+13,22.5,0.5,7,0,15,0,20:22:39,,
6.38E+13,22.9,0.9,7,0,15,0,20:22:40,,
6.38E+13,22.2,0.1,7,0,15,0,20:22:41,,
6.38E+13,22.5,0.5,7,0,15,0,20:22:42,,
6.38E+13,22.3,0.3,7,0,15,0,20:22:43,,
6.38E+13,22.1,0.1,7,0,15,0,20:22:44,,
6.38E+13,22.8,0.8,7,0,15,0,20:22:45,,
6.38E+13,22.2,0.2,7,0,15,0,20:22:46,,
6.38E+13,22.7,0.7,7,0,15,0,20:22:47,,
6.38E+13,22.7,0.7,7,0,15,0,20:22:49,,
6.38E+13,22.1,0.1,7,0,15,0,20:22:50,,
6.38E+13,22.3,0.3,7,0,15,0,20:22:51,,
6.38E+13,22.3,0.3,7,0,15,0,20:22:52,,
6.38E+13,24.5,2.5,7,0,15,0,20:22:53,,
6.38E+13,22.7,0.7,7,0,15,0,20:22:54,,
6.38E+13,22.6,0.6,7,0,15,0,20:22:55,,
6.38E+13,22,0,7,0,15,0,20:22:56,,
6.38E+13,22.7,0.6,7,0,15,0,20:22:58,,
6.38E+13,23.1,1.1,7,0,15,0,20:22:59,,
