TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,23,1,7,0,15,0.2,14:58:55,,,
6.38E+13,22.9,0.9,7,0,15,0.1,14:58:56,,,
6.38E+13,24.3,2.3,7,0,15,0.6,14:58:58,,,
6.38E+13,27.3,5.3,7,0,15,1.3,14:58:59,,,
6.38E+13,26.6,4.6,7,0,15,1.3,14:59:00,,,1.3
6.38E+13,22.8,0.8,7,0,15,0.5,14:59:01,,,0.5
6.38E+13,23.4,1.4,7,0,15,0,14:59:02,,,0
6.38E+13,22.4,0.4,7,0,15,0,14:59:03,,,0
6.38E+13,22.1,0.1,7,0,15,0.1,14:59:04,,,0.1
6.38E+13,22.2,0.2,7,0,15,0,14:59:05,,,0
6.38E+13,22.9,0.9,7,0,15,0,14:59:07,,,0
6.38E+13,22.2,0.2,7,0,15,0.1,14:59:08,,,0.1
6.38E+13,22.4,0.3,7,0,15,0.1,14:59:09,,,0.1
6.38E+13,23.7,1.7,7,0,15,0.2,14:59:10,,,0.2
6.38E+13,23.2,1.2,7,0,15,0.1,14:59:11,,,0.1
6.38E+13,22.2,0.2,7,0,15,0,14:59:12,,,0
6.38E+13,22,0,7,0,15,0,14:59:13,,,0
6.38E+13,22.7,0.7,7,0,15,0,14:59:14,,,0
6.38E+13,22.2,0.2,7,0,15,0,14:59:15,,,0
6.38E+13,22.6,0.6,7,0,15,0,14:59:17,,,0
6.38E+13,22.2,0.2,7,0,15,0,14:59:18,,,0
6.38E+13,22.8,0.8,7,0,15,0,14:59:19,,,0
6.38E+13,22.7,0.7,7,0,15,0,14:59:20,,,0
6.38E+13,22.1,0.1,7,0,15,0,14:59:21,,,0
6.38E+13,22.6,0.6,7,0,15,0,14:59:22,,,0
6.38E+13,22,0,7,0,15,0,14:59:23,,,0
6.38E+13,23.2,1.2,7,0,15,0,14:59:24,,,0
6.38E+13,22.4,0.4,7,0,15,0,14:59:25,,,0.104347826
6.38E+13,22.1,0.1,7,0,15,0,14:59:26,,,
6.38E+13,22,0,7,0,15,0,14:59:28,,,
6.38E+13,23.1,1.1,7,0,15,0,14:59:29,,,
6.38E+13,22.5,0.5,7,0,15,0,14:59:30,,,
6.38E+13,22.9,0.9,7,0,15,0,14:59:31,,,
6.38E+13,22.6,0.6,7,0,15,0,14:59:32,,,
