TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.4,0.4,7,0,15,0.1,15:15:58,,
6.38E+13,23.2,1.2,7,0,15,0.1,15:15:59,,
6.38E+13,24,2,7,0,15,0.2,15:16:00,,
6.38E+13,24.8,2.8,7,0,15,0.2,15:16:01,,
6.38E+13,25,3,7,0,15,0.1,15:16:02,,0.1
6.38E+13,22.9,0.9,7,0,15,0.6,15:16:04,,0.6
6.38E+13,22.9,0.9,7,0,15,0.4,15:16:05,,0.4
6.38E+13,23.2,1.2,7,0,15,0.1,15:16:06,,0.1
6.38E+13,22.3,0.3,7,0,15,0,15:16:07,,0
6.38E+13,23.1,1,7,0,15,0.1,15:16:08,,0.1
6.38E+13,23.4,1.4,7,0,15,0.2,15:16:09,,0.2
6.38E+13,22.7,0.7,7,0,15,0.1,15:16:10,,0.1
6.38E+13,23.6,1.6,7,0,15,0.1,15:16:11,,0.1
6.38E+13,22,0,7,0,15,0,15:16:12,,0
6.38E+13,22,0,7,0,15,0,15:16:13,,0
6.38E+13,23.1,1.1,7,0,15,0,15:16:15,,0
6.38E+13,22,0,7,0,15,0,15:16:16,,0
6.38E+13,22.6,0.6,7,0,15,0,15:16:17,,0
6.38E+13,23.1,1.1,7,0,15,0,15:16:18,,0
6.38E+13,22,0,7,0,15,0,15:16:19,,0
6.38E+13,22.3,0.3,7,0,15,0,15:16:20,,0
6.38E+13,23.7,1.7,7,0,15,0,15:16:21,,0
6.38E+13,22,0,7,0,15,0,15:16:22,,0
6.38E+13,22.5,0.5,7,0,15,0,15:16:23,,0
6.38E+13,22.3,0.3,7,0,15,0,15:16:25,,0
6.38E+13,22.5,0.5,7,0,15,0,15:16:26,,0
6.38E+13,22.7,0.7,7,0,15,0,15:16:27,,0
6.38E+13,22.2,0.2,7,0,15,0,15:16:28,,0.073913043
6.38E+13,22.7,0.7,7,0,15,0,15:16:29,,
6.38E+13,22.8,0.8,7,0,15,0,15:16:30,,
6.38E+13,22.7,0.7,7,0,15,0,15:16:31,,
6.38E+13,22.8,0.8,7,0,15,0,15:16:32,,
6.38E+13,22.3,0.3,7,0,15,0,15:16:33,,
6.38E+13,22.1,0.1,7,0,15,0,15:16:34,,
6.38E+13,22.1,0.1,7,0,15,0,15:16:35,,
6.38E+13,22.1,0.1,7,0,15,0,15:16:37,,
6.38E+13,22.6,0.6,7,0,15,0,15:16:38,,
6.38E+13,22.9,0.9,7,0,15,0,15:16:39,,
6.38E+13,22.8,0.8,7,0,15,0,15:16:40,,
