TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.3,0.3,7,0,15,0,14:59:43,,
6.38E+13,23.2,1.2,7,0,15,0.1,14:59:44,,
6.38E+13,23.2,1.2,7,0,15,0.4,14:59:45,,
6.38E+13,25.8,3.8,7,0,15,0.1,14:59:47,,0.1
6.38E+13,24.9,2.9,7,0,15,0.1,14:59:48,,0.1
6.38E+13,23,1,7,0,15,0,14:59:49,,0
6.38E+13,22.5,0.5,7,0,15,0,14:59:50,,0
6.38E+13,22.1,0.1,7,0,15,0,14:59:51,,0
6.38E+13,22.1,0.1,7,0,15,0,14:59:52,,0
6.38E+13,23.7,1.7,7,0,15,0.2,14:59:53,,0.2
6.38E+13,22,0,7,0,15,0,14:59:54,,0
6.38E+13,23.2,1.2,7,0,15,0.2,14:59:56,,0.2
6.38E+13,24.3,2.3,7,0,15,0.2,14:59:57,,0.2
6.38E+13,22.3,0.3,7,0,15,0,14:59:58,,0
6.38E+13,22.8,0.8,7,0,15,0,14:59:59,,0
6.38E+13,23,1,7,0,15,0,15:00:00,,0
6.38E+13,23.5,1.5,7,0,15,0,15:00:01,,0
6.38E+13,25.5,3.4,7,0,15,0,15:00:02,,0
6.38E+13,25.3,3.3,7,0,15,0,15:00:03,,0
6.38E+13,24.3,2.3,7,0,15,0,15:00:04,,0
6.38E+13,22.1,0.1,7,0,15,0,15:00:06,,0
6.38E+13,22.7,0.7,7,0,15,0,15:00:07,,0
6.38E+13,22.2,0.2,7,0,15,0,15:00:08,,0
6.38E+13,22.4,0.4,7,0,15,0,15:00:09,,0
6.38E+13,22.5,0.5,7,0,15,0,15:00:10,,0
6.38E+13,22.8,0.8,7,0,15,0,15:00:11,,0
,,,,,,,0:00:00,,0.034782609
,,,,,,,0:00:00,,
