TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.5,0.5,7,0,15,0,16:30:17,,
6.38E+13,23.1,1.1,7,0,15,0.3,16:30:18,,
6.38E+13,24,2,7,0,15,0.7,16:30:19,,
6.38E+13,27.1,5.1,7,0,15,0,16:30:21,,
6.38E+13,26.7,4.7,7,0,15,0,16:30:22,,
6.38E+13,26.6,4.6,7,0,15,0.1,16:30:23,,0.1
6.38E+13,25.9,3.9,7,0,15,0,16:30:24,,0
6.38E+13,23.1,1.1,7,0,15,0,16:30:25,,0
6.38E+13,22.7,0.7,7,0,15,0.1,16:30:26,,0.1
6.38E+13,22.5,0.5,7,0,15,0,16:30:27,,0
6.38E+13,22,0,7,0,15,0,16:30:28,,0
6.38E+13,23.4,1.4,7,0,15,0.5,16:30:30,,0.5
6.38E+13,25.1,3.1,7,0,15,0.2,16:30:31,,0.2
6.38E+13,22.4,0.4,7,0,15,0,16:30:32,,0
6.38E+13,22.5,0.5,7,0,15,0,16:30:33,,0
6.38E+13,22.5,0.5,7,0,15,0,16:30:34,,0
6.38E+13,22,0,7,0,15,0,16:30:35,,0
6.38E+13,22.4,0.4,7,0,15,0,16:30:36,,0
6.38E+13,22.8,0.8,7,0,15,0,16:30:37,,0
6.38E+13,23.1,1.1,7,0,15,0,16:30:38,,0
6.38E+13,22.8,0.8,7,0,15,0,16:30:39,,0
6.38E+13,22.9,0.9,7,0,15,0,16:30:41,,0
6.38E+13,22,0,7,0,15,0,16:30:42,,0
6.38E+13,22.7,0.7,7,0,15,0,16:30:43,,0
6.38E+13,22.4,0.4,7,0,15,0,16:30:44,,0
6.38E+13,22.2,0.2,7,0,15,0,16:30:45,,0
6.38E+13,22.6,0.6,7,0,15,0,16:30:46,,0
6.38E+13,22.5,0.5,7,0,15,0,16:30:47,,0
6.38E+13,22,0,7,0,15,0,16:30:48,,0.039130435
6.38E+13,22.9,0.9,7,0,15,0,16:30:49,,
6.38E+13,22.1,0.1,7,0,15,0,16:30:50,,
6.38E+13,22.3,0.3,7,0,15,0,16:30:51,,
6.38E+13,22.4,0.4,7,0,15,0,16:30:53,,
6.38E+13,22.8,0.8,7,0,15,0,16:30:54,,
6.38E+13,22,0,7,0,15,0,16:30:55,,
6.38E+13,22.4,0.4,7,0,15,0,16:30:56,,
6.38E+13,22.4,0.4,7,0,15,0,16:30:57,,
6.38E+13,22.6,0.6,7,0,15,0,16:30:58,,
6.38E+13,22,0,7,0,15,0,16:30:59,,
6.38E+13,22.6,0.6,7,0,15,0,16:31:00,,
6.38E+13,22.4,0.4,7,0,15,0,16:31:01,,
6.38E+13,22.5,0.5,7,0,15,0,16:31:03,,
6.38E+13,23.2,1.1,7,0,15,0,16:31:04,,
6.38E+13,23,1,7,0,15,0,16:31:05,,
6.38E+13,22.4,0.4,7,0,15,0,16:31:06,,
6.38E+13,22.2,0.2,7,0,15,0,16:31:07,,
6.38E+13,22.2,0.2,7,0,15,0,16:31:08,,
6.38E+13,22.5,0.5,7,0,15,0,16:31:09,,
6.38E+13,22.5,0.5,7,0,15,0,16:31:10,,
6.38E+13,22.1,0.1,7,0,15,0,16:31:11,,
6.38E+13,22.6,0.6,7,0,15,0,16:31:12,,
6.38E+13,22.8,0.7,7,0,15,0,16:31:14,,
6.38E+13,22,0,7,0,15,0,16:31:15,,
6.38E+13,22.1,0.1,7,0,15,0,16:31:16,,
6.38E+13,22.8,0.8,7,0,15,0,16:31:17,,
6.38E+13,22.6,0.6,7,0,15,0,16:31:18,,
