TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,25,2.9,7,0.1,15,0,16:22:44,,
6.38E+13,26.3,4.3,7,0,15,1,16:22:45,,
6.38E+13,23.7,1.7,7,0,15,0.3,16:22:46,,
6.38E+13,25.3,3.3,7,0,15,0,16:22:47,,
6.38E+13,26.3,4.3,7,0,15,0,16:22:48,,
6.38E+13,26.9,4.8,7,0,15,0,16:22:49,,
6.38E+13,25.4,3.4,7,0,15,0,16:22:50,,0
6.38E+13,22.7,0.7,7,0,15,0.1,16:22:51,,0.1
6.38E+13,22.6,0.6,7,0,15,0,16:22:53,,0
6.38E+13,22.9,0.9,7,0,15,0.1,16:22:54,,0.1
6.38E+13,22.2,0.2,7,0,15,0.3,16:22:55,,0.3
6.38E+13,26.6,4.6,7,0,15,0.3,16:22:56,,0.3
6.38E+13,23.4,1.4,7,0,15,0,16:22:57,,0
6.38E+13,22,0,7,0,15,0,16:22:58,,0
6.38E+13,22.2,0.2,7,0,15,0,16:22:59,,0
6.38E+13,23,1,7,0,15,0,16:23:00,,0
6.38E+13,22.3,0.3,7,0,15,0,16:23:02,,0
6.38E+13,22.5,0.5,7,0,15,0,16:23:03,,0
6.38E+13,23,1,7,0,15,0,16:23:04,,0
6.38E+13,23.2,1.2,7,0,15,0,16:23:05,,0
6.38E+13,22,0,7,0,15,0,16:23:06,,0
6.38E+13,22.9,0.9,7,0,15,0,16:23:07,,0
6.38E+13,22.2,0.2,7,0,15,0,16:23:08,,0
6.38E+13,22.1,0.1,7,0,15,0,16:23:09,,0
6.38E+13,23.3,1.3,7,0,15,0,16:23:10,,0
6.38E+13,22,0,7,0,15,0,16:23:11,,0
6.38E+13,22.4,0.4,7,0,15,0,16:23:13,,0
6.38E+13,22,0,7,0,15,0,16:23:14,,0
6.38E+13,23,1,7,0,15,0,16:23:15,,0
6.38E+13,22.2,0.2,7,0,15,0,16:23:16,,0.034782609
6.38E+13,22.2,0.2,7,0,15,0,16:23:17,,
6.38E+13,22.5,0.5,7,0,15,0,16:23:18,,
6.38E+13,23.1,1.1,7,0,15,0,16:23:19,,
6.38E+13,22.4,0.4,7,0,15,0,16:23:20,,
6.38E+13,22.6,0.6,7,0,15,0,16:23:21,,
6.38E+13,22.5,0.5,7,0,15,0,16:23:22,,
6.38E+13,22.4,0.4,7,0,15,0,16:23:24,,
6.38E+13,22.5,0.5,7,0,15,0,16:23:25,,
6.38E+13,22.1,0.1,7,0,15,0,16:23:26,,
6.38E+13,22.4,0.4,7,0,15,0,16:23:27,,
6.38E+13,22.8,0.8,7,0,15,0,16:23:28,,
6.38E+13,22.1,0.1,7,0,15,0,16:23:29,,
6.38E+13,22.2,0.2,7,0,15,0,16:23:30,,
6.38E+13,22.9,0.8,7,0,15,0,16:23:31,,
6.38E+13,22.3,0.3,7,0,15,0,16:23:32,,
6.38E+13,22.5,0.5,7,0,15,0,16:23:33,,
6.38E+13,22.5,0.5,7,0,15,0,16:23:34,,
6.38E+13,22.1,0.1,7,0,15,0,16:23:36,,
