TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.4,0.4,7,0,15,0,16:10:05,,
6.38E+13,23.1,1.1,7,0,15,0.2,16:10:06,,
6.38E+13,22.3,0.3,7,0,15,0.2,16:10:07,,
6.38E+13,23.2,1.2,7,0,15,0.1,16:10:08,,
6.38E+13,25.4,3.4,7,0,15,0.1,16:10:09,,
6.38E+13,25.8,3.8,7,0,15,0.1,16:10:10,,
6.38E+13,27.6,5.6,7,0,15,0.1,16:10:12,,0.1
6.38E+13,25.5,3.5,7,0,15,0.1,16:10:13,,0.1
6.38E+13,23,1,7,0,15,0.1,16:10:14,,0.1
6.38E+13,22.5,0.5,7,0,15,0.1,16:10:15,,0.1
6.38E+13,22.7,0.7,7,0,15,0.1,16:10:16,,0.1
6.38E+13,22,0,7,0,15,0.1,16:10:17,,0.1
6.38E+13,22.5,0.5,7,0,15,0,16:10:18,,0
6.38E+13,22.1,0.1,7,0,15,0,16:10:19,,0
6.38E+13,25.2,3.2,7,0,15,0.9,16:10:20,,0.9
6.38E+13,24.6,2.6,7,0,15,0,16:10:22,,0
6.38E+13,22.6,0.6,7,0,15,0,16:10:23,,0
6.38E+13,22.7,0.7,7,0,15,0,16:10:24,,0
6.38E+13,22.3,0.3,7,0,15,0.1,16:10:25,,0.1
6.38E+13,23,1,7,0,15,0,16:10:26,,0
6.38E+13,22.8,0.8,7,0,15,0,16:10:27,,0
6.38E+13,22.7,0.7,7,0,15,0,16:10:28,,0
6.38E+13,22.7,0.7,7,0,15,0,16:10:29,,0
6.38E+13,22.4,0.4,7,0,15,0,16:10:30,,0
6.38E+13,22,0,7,0,15,0,16:10:31,,0
6.38E+13,22.2,0.2,7,0,15,0,16:10:33,,0
6.38E+13,23,1,7,0,15,0,16:10:34,,0
6.38E+13,22,0,7,0,15,0,16:10:35,,0
6.38E+13,22.5,0.5,7,0,15,0,16:10:36,,0
6.38E+13,22.8,0.8,7,0,15,0,16:10:37,,0.069565217
6.38E+13,22,0,7,0,15,0,16:10:38,,
6.38E+13,22.4,0.4,7,0,15,0,16:10:39,,
6.38E+13,22.4,0.4,7,0,15,0,16:10:40,,
6.38E+13,22.7,0.7,7,0,15,0,16:10:41,,
6.38E+13,22.1,0.1,7,0,15,0,16:10:42,,
6.38E+13,22.8,0.8,7,0,15,0,16:10:43,,
6.38E+13,22.7,0.7,7,0,15,0,16:10:45,,
6.38E+13,22.1,0.1,7,0,15,0,16:10:46,,
6.38E+13,22.5,0.5,7,0,15,0,16:10:47,,
6.38E+13,22.5,0.5,7,0,15,0,16:10:48,,
6.38E+13,23,1,7,0,15,0,16:10:49,,
6.38E+13,22.6,0.6,7,0,15,0,16:10:50,,
6.38E+13,22.4,0.4,7,0,15,0,16:10:51,,
6.38E+13,22.1,0.1,7,0,15,0,16:10:52,,
6.38E+13,22.3,0.3,7,0,15,0,16:10:53,,
6.38E+13,23,1,7,0,15,0,16:10:55,,
6.38E+13,22.1,0.1,7,0,15,0,16:10:56,,
6.38E+13,22.3,0.3,7,0,15,0,16:10:57,,
6.38E+13,22,0,7,0,15,0,16:10:58,,
6.38E+13,23,1,7,0,15,0,16:10:59,,
6.38E+13,22.4,0.4,7,0,15,0,16:11:00,,
6.38E+13,22.7,0.7,7,0,15,0,16:11:01,,
6.38E+13,22.4,0.4,7,0,15,0,16:11:02,,
6.38E+13,22.8,0.8,7,0,15,0,16:11:03,,
6.38E+13,22,0,7,0,15,0,16:11:04,,
6.38E+13,22.8,0.8,7,0,15,0,16:11:06,,
6.38E+13,22.3,0.3,7,0,15,0,16:11:07,,
6.38E+13,22.8,0.8,7,0,15,0,16:11:08,,
6.38E+13,22,0,7,0,15,0,16:11:09,,
6.38E+13,23,1,7,0,15,0,16:11:10,,
6.38E+13,22.4,0.4,7,0,15,0,16:11:11,,
6.38E+13,22.6,0.6,7,0,15,0,16:11:12,,
6.38E+13,22.4,0.4,7,0,15,0,16:11:13,,
6.38E+13,22.3,0.3,7,0,15,0,16:11:14,,
6.38E+13,22.5,0.5,7,0,15,0,16:11:15,,
6.38E+13,22,0,7,0,15,0,16:11:16,,
