TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.6,0.6,7,0,15,0.1,16:32:26,,
6.38E+13,24,2,7,0,15,0.4,16:32:27,,
6.38E+13,22.7,0.7,7,0,15,0.1,16:32:28,,
6.38E+13,25.3,3.3,7,0,15,0.1,16:32:29,,
6.38E+13,26.5,4.5,7,0,15,0.1,16:32:30,,
6.38E+13,25.7,3.7,7,0,15,0.1,16:32:31,,0.1
6.38E+13,26,4,7,0,15,0.3,16:32:33,,0.3
6.38E+13,24.3,2.3,7,0,15,0.1,16:32:34,,0.1
6.38E+13,23.3,1.3,7,0,15,0,16:32:35,,0
6.38E+13,23,1,7,0,15,0,16:32:36,,0
6.38E+13,23,1,7,0,15,0,16:32:37,,0
6.38E+13,22.5,0.5,7,0,15,0,16:32:38,,0
6.38E+13,22.3,0.3,7,0,15,0,16:32:39,,0
6.38E+13,23.7,1.7,7,0,15,0.5,16:32:40,,0.5
6.38E+13,24.1,2.1,7,0,15,0.2,16:32:42,,0.2
6.38E+13,23.1,1.1,7,0,15,0,16:32:43,,0
6.38E+13,22.9,0.9,7,0,15,0,16:32:44,,0
6.38E+13,22.7,0.7,7,0,15,0,16:32:45,,0
6.38E+13,22,0,7,0,15,0,16:32:46,,0
6.38E+13,23.4,1.4,7,0,15,0,16:32:47,,0
6.38E+13,22.6,0.6,7,0,15,0,16:32:48,,0
6.38E+13,22.4,0.4,7,0,15,0,16:32:49,,0
6.38E+13,22.4,0.4,7,0,15,0,16:32:50,,0
6.38E+13,22,0,7,0,15,0,16:32:52,,0
6.38E+13,22.9,0.9,7,0,15,0,16:32:53,,0
6.38E+13,22.6,0.6,7,0,15,0,16:32:54,,0
6.38E+13,22,0,7,0,15,0,16:32:55,,0
6.38E+13,22.6,0.6,7,0,15,0,16:32:56,,0
6.38E+13,22.6,0.6,7,0,15,0,16:32:57,,0.052173913
6.38E+13,22.1,0.1,7,0,15,0,16:32:58,,
6.38E+13,22.4,0.4,7,0,15,0,16:32:59,,
6.38E+13,22.8,0.8,7,0,15,0,16:33:00,,
6.38E+13,22.6,0.6,7,0,15,0,16:33:01,,
6.38E+13,22,0,7,0,15,0,16:33:02,,
6.38E+13,23.1,1.1,7,0,15,0,16:33:04,,
6.38E+13,22.1,0.1,7,0,15,0,16:33:05,,
6.38E+13,22.7,0.7,7,0,15,0,16:33:06,,
6.38E+13,22.4,0.4,7,0,15,0,16:33:07,,
6.38E+13,22.6,0.6,7,0,15,0,16:33:08,,
6.38E+13,22.2,0.2,7,0,15,0,16:33:09,,
6.38E+13,23,1,7,0,15,0,16:33:10,,
6.38E+13,22.2,0.2,7,0,15,0,16:33:11,,
6.38E+13,22.6,0.6,7,0,15,0,16:33:12,,
6.38E+13,22,0,7,0,15,0,16:33:13,,
6.38E+13,23.1,1.1,7,0,15,0,16:33:15,,
6.38E+13,22,0,7,0,15,0,16:33:16,,
6.38E+13,23,1,7,0,15,0,16:33:17,,
6.38E+13,22.4,0.4,7,0,15,0,16:33:18,,
6.38E+13,22.3,0.3,7,0,15,0,16:33:19,,
6.38E+13,23,1,7,0,15,0,16:33:20,,
6.38E+13,22.2,0.2,7,0,15,0,16:33:21,,
6.38E+13,22.5,0.5,7,0,15,0,16:33:22,,
6.38E+13,22.8,0.8,7,0,15,0,16:33:23,,
6.38E+13,22.5,0.5,7,0,15,0,16:33:24,,
