TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.3,0.3,7,0,15,0,16:25:08,,
6.38E+13,22.9,0.9,7,0,15,0.1,16:25:09,,
6.38E+13,23.1,1.1,7,0,15,0.1,16:25:10,,
6.38E+13,24.8,2.8,7,0,15,0.1,16:25:11,,
6.38E+13,25.9,3.9,7,0,15,0,16:25:13,,
6.38E+13,27,4.9,7,0,15,0,16:25:14,,
6.38E+13,26.6,4.6,7,0,15,0,16:25:15,,0
6.38E+13,24.7,2.7,7,0,15,0.1,16:25:16,,0.1
6.38E+13,22.2,0.2,7,0,15,0.1,16:25:17,,0.1
6.38E+13,22.4,0.4,7,0,15,0,16:25:18,,0
6.38E+13,22.5,0.5,7,0,15,0,16:25:19,,0
6.38E+13,22.5,0.5,7,0,15,0.2,16:25:20,,0.2
6.38E+13,23.9,1.9,7,0,15,0.2,16:25:22,,0.2
6.38E+13,23.3,1.3,7,0,15,0,16:25:23,,0
6.38E+13,22,0,7,0,15,0,16:25:24,,0
6.38E+13,23,1,7,0,15,0,16:25:25,,0
6.38E+13,22,0,7,0,15,0,16:25:26,,0
6.38E+13,22.3,0.3,7,0,15,0,16:25:27,,0
6.38E+13,22.5,0.5,7,0,15,0,16:25:28,,0
6.38E+13,23.3,1.3,7,0,15,0,16:25:29,,0
6.38E+13,22.7,0.7,7,0,15,0,16:25:30,,0
6.38E+13,23.1,1.1,7,0,15,0,16:25:31,,0
6.38E+13,22.9,0.9,7,0,15,0,16:25:33,,0
6.38E+13,23.4,1.4,7,0,15,0,16:25:34,,0
6.38E+13,23.6,1.6,7,0,15,0,16:25:35,,0
6.38E+13,22.7,0.6,7,0,15,0,16:25:36,,0
6.38E+13,22.6,0.6,7,0,15,0,16:25:37,,0
6.38E+13,22.2,0.2,7,0,15,0,16:25:38,,0
6.38E+13,22.1,0.1,7,0,15,0,16:25:39,,0
6.38E+13,22.9,0.9,7,0,15,0,16:25:40,,0.026086957
6.38E+13,22.3,0.3,7,0,15,0,16:25:41,,
6.38E+13,22.2,0.2,7,0,15,0,16:25:43,,
6.38E+13,22.4,0.4,7,0,15,0,16:25:44,,
6.38E+13,22.4,0.4,7,0,15,0,16:25:45,,
6.38E+13,22.5,0.5,7,0,15,0,16:25:46,,
6.38E+13,22.5,0.5,7,0,15,0,16:25:47,,
6.38E+13,22.5,0.5,7,0,15,0,16:25:48,,
6.38E+13,22.7,0.7,7,0,15,0,16:25:49,,
6.38E+13,22,0,7,0,15,0,16:25:50,,
6.38E+13,22.9,0.9,7,0,15,0,16:25:51,,
6.38E+13,22.2,0.2,7,0,15,0,16:25:52,,
6.38E+13,22.1,0.1,7,0,15,0,16:25:53,,
6.38E+13,22.4,0.4,7,0,15,0,16:25:55,,
6.38E+13,22.4,0.4,7,0,15,0,16:25:56,,
6.38E+13,22.5,0.5,7,0,15,0,16:25:57,,
6.38E+13,22.6,0.6,7,0,15,0,16:25:58,,
6.38E+13,22.2,0.2,7,0,15,0,16:25:59,,
6.38E+13,22.2,0.2,7,0,15,0,16:26:00,,
6.38E+13,22.4,0.4,7,0,15,0,16:26:01,,
6.38E+13,22.4,0.4,7,0,15,0,16:26:02,,
6.38E+13,22.2,0.2,7,0,15,0,16:26:03,,
6.38E+13,22.4,0.4,7,0,15,0,16:26:04,,
6.38E+13,22.6,0.6,7,0,15,0,16:26:06,,
6.38E+13,22.3,0.3,7,0,15,0,16:26:07,,
6.38E+13,22.3,0.3,7,0,15,0,16:26:08,,
6.38E+13,22.7,0.7,7,0,15,0,16:26:09,,
6.38E+13,22.8,0.8,7,0,15,0,16:26:10,,
6.38E+13,22,0,7,0,15,0,16:26:11,,
6.38E+13,22.4,0.4,7,0,15,0,16:26:12,,
6.38E+13,22.2,0.2,7,0,15,0,16:26:13,,
6.38E+13,22.6,0.6,7,0,15,0,16:26:14,,
6.38E+13,22,0,7,0,15,0,16:26:15,,
6.38E+13,22.9,0.9,7,0,15,0,16:26:17,,
6.38E+13,22.5,0.5,7,0,15,0,16:26:18,,
6.38E+13,22.4,0.4,7,0,15,0,16:26:19,,
6.38E+13,23.2,1.2,7,0,15,0,16:26:20,,
6.38E+13,22,0,7,0,15,0,16:26:21,,
