TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.6,0.6,7,0,15,0.1,15:35:26,,
6.38E+13,23,1,7,0,15,0.4,15:35:27,,
6.38E+13,25.7,3.7,7,0,15,0.2,15:35:28,,
6.38E+13,25.8,3.8,7,0,15,0.1,15:35:30,,0.1
6.38E+13,22.4,0.4,7,0,15,0.1,15:35:31,,0.1
6.38E+13,23.2,1.2,7,0,15,0,15:35:32,,0
6.38E+13,22.7,0.7,7,0,15,0.1,15:35:33,,0.1
6.38E+13,22,0,7,0,15,0.1,15:35:34,,0.1
6.38E+13,22.6,0.5,7,0,15,0.2,15:35:35,,0.2
6.38E+13,25.7,3.7,7,0,15,0.5,15:35:36,,0.5
6.38E+13,23.5,1.5,7,0,15,0,15:35:37,,0
6.38E+13,22.5,0.5,7,0,15,0,15:35:39,,0
6.38E+13,22.3,0.3,7,0,15,0,15:35:40,,0
6.38E+13,22.2,0.2,7,0,15,0,15:35:41,,0
6.38E+13,22.9,0.9,7,0,15,0,15:35:42,,0
6.38E+13,22.4,0.4,7,0,15,0,15:35:43,,0
6.38E+13,22.6,0.6,7,0,15,0,15:35:44,,0
6.38E+13,23.1,1.1,7,0,15,0,15:35:45,,0
6.38E+13,22.5,0.5,7,0,15,0,15:35:46,,0
6.38E+13,23.2,1.2,7,0,15,0,15:35:47,,0
6.38E+13,22.7,0.7,7,0,15,0,15:35:49,,0
6.38E+13,22.8,0.8,7,0,15,0,15:35:50,,0
6.38E+13,22.6,0.6,7,0,15,0,15:35:51,,0
6.38E+13,22.7,0.7,7,0,15,0.2,15:35:52,,0.2
6.38E+13,22.7,0.7,7,0,15,0.1,15:35:53,,0.1
6.38E+13,23,1,7,0,15,0,15:35:54,,0
6.38E+13,22.7,0.7,7,0,15,0,15:35:55,,0.060869565
6.38E+13,22.4,0.4,7,0,15,0,15:35:56,,
6.38E+13,22.4,0.4,7,0,15,0,15:35:57,,
6.38E+13,22.7,0.7,7,0,15,0,15:35:58,,
6.38E+13,22.3,0.3,7,0,15,0,15:36:00,,
6.38E+13,22.8,0.8,7,0,15,0,15:36:01,,
