TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,25.4,3.4,7,0,15,0,20:55:54,,,
6.38E+13,25.2,3.1,7,0.1,15,0.1,20:55:55,,,
6.38E+13,24.2,2.2,7,0,15,0.3,20:55:56,,,
6.38E+13,26,4,7,0,15,0,20:55:57,,,0
6.38E+13,23.4,1.4,7,0,15,0,20:55:58,,,0
6.38E+13,22.6,0.6,7,0,15,0,20:55:59,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:01,,,0
6.38E+13,22.4,0.4,7,0,15,0,20:56:02,,,0
6.38E+13,23.5,1.5,7,0,15,0.1,20:56:03,,,0.1
6.38E+13,23.3,1.3,7,0,15,0.2,20:56:04,,,0.2
6.38E+13,23.5,1.5,7,0,15,0,20:56:05,,,0
6.38E+13,22.6,0.6,7,0,15,0,20:56:06,,,0
6.38E+13,22.4,0.4,7,0,15,0,20:56:08,,,0
6.38E+13,22.6,0.6,7,0,15,0,20:56:09,,,0
6.38E+13,22,0,7,0,15,0,20:56:10,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:11,,,0
6.38E+13,22.8,0.8,7,0,15,0,20:56:12,,,0
6.38E+13,22,0,7,0,15,0,20:56:13,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:14,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:15,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:16,,,0
6.38E+13,22.5,0.5,7,0,15,0,20:56:18,,,0
6.38E+13,23.2,1.2,7,0,15,0,20:56:19,,,0
6.38E+13,22,0,7,0,15,0,20:56:20,,,0
6.38E+13,22.6,0.6,7,0,15,0,20:56:21,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:56:22,,,0
6.38E+13,22,0,7,0,15,0,20:56:23,,,0.013043478
6.38E+13,22.5,0.5,7,0,15,0,20:56:24,,,
6.38E+13,22.7,0.7,7,0,15,0,20:56:25,,,
6.38E+13,22.3,0.3,7,0,15,0,20:56:26,,,
6.38E+13,22,0,7,0,15,0,20:56:28,,,
6.38E+13,23,1,7,0,15,0,20:56:29,,,
6.38E+13,22.3,0.3,7,0,15,0,20:56:30,,,
6.38E+13,22.5,0.4,7,0,15,0,20:56:31,,,
6.38E+13,22.4,0.4,7,0,15,0,20:56:32,,,
6.38E+13,22.6,0.6,7,0,15,0,20:56:33,,,
6.38E+13,23.1,1.1,7,0,15,0,20:56:34,,,
6.38E+13,22,0,7,0,15,0,20:56:35,,,
6.38E+13,22.5,0.5,7,0,15,0,20:56:37,,,
6.38E+13,22.1,0.1,7,0,15,0,20:56:38,,,
6.38E+13,24.7,2.7,7,0,15,0,20:56:39,,,
6.38E+13,22,0,7,0,15,0,20:56:40,,,
6.38E+13,22.5,0.5,7,0,15,0,20:56:41,,,
6.38E+13,22.7,0.7,7,0,15,0,20:56:42,,,
6.38E+13,22.2,0.2,7,0,15,0,20:56:43,,,
6.38E+13,22.4,0.4,7,0,15,0,20:56:44,,,
6.38E+13,23.6,1.6,7,0,15,0,20:56:45,,,
6.38E+13,22,0,7,0,15,0,20:56:47,,,
6.38E+13,23.1,1.1,7,0,15,0,20:56:48,,,
6.38E+13,22.4,0.4,7,0,15,0,20:56:49,,,
6.38E+13,22.2,0.2,7,0,15,0,20:56:50,,,
6.38E+13,22.8,0.8,7,0,15,0,20:56:51,,,
6.38E+13,22.2,0.2,7,0,15,0,20:56:52,,,
6.38E+13,22.7,0.7,7,0,15,0,20:56:53,,,
6.38E+13,22.8,0.8,7,0,15,0,20:56:54,,,
6.38E+13,22.4,0.4,7,0,15,0,20:56:55,,,
6.38E+13,22.8,0.8,7,0,15,0,20:56:57,,,
6.38E+13,22.8,0.8,7,0,15,0,20:56:58,,,
