TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.9,0.9,7,0,15,0.1,15:48:29,,
6.38E+13,22.4,0.4,7,0,15,0.1,15:48:31,,
6.38E+13,23.4,1.4,7,0,15,0.3,15:48:32,,
6.38E+13,24.9,2.9,7,0,15,0.1,15:48:33,,0.1
6.38E+13,26.3,4.3,7,0,15,0.1,15:48:34,,0.1
6.38E+13,23.1,1.1,7,0,15,0,15:48:35,,0
6.38E+13,23.2,1.2,7,0,15,0,15:48:36,,0
6.38E+13,22.3,0.3,7,0,15,0,15:48:37,,0
6.38E+13,22.6,0.6,7,0,15,0.4,15:48:38,,0.4
6.38E+13,23.7,1.7,7,0,15,0.2,15:48:40,,0.2
6.38E+13,22.8,0.8,7,0,15,0,15:48:41,,0
6.38E+13,22.7,0.7,7,0,15,0,15:48:42,,0
6.38E+13,24,2,7,0,15,0,15:48:43,,0
6.38E+13,22.8,0.8,7,0,15,0,15:48:44,,0
6.38E+13,22,0,7,0,15,0,15:48:45,,0
6.38E+13,22,0,7,0,15,0,15:48:46,,0
6.38E+13,23,1,7,0,15,0,15:48:47,,0
6.38E+13,22.4,0.4,7,0,15,0,15:48:48,,0
6.38E+13,22.3,0.3,7,0,15,0,15:48:49,,0
6.38E+13,22.7,0.6,7,0,15,0,15:48:51,,0
6.38E+13,22.5,0.1,7,0.3,15,0,15:48:52,,0
6.38E+13,23.1,1.1,7,0.1,15,0,15:48:53,,0
6.38E+13,22,0,7,0,15,0,15:48:54,,0
6.38E+13,22.7,0.7,7,0,15,0,15:48:55,,0
6.38E+13,22.3,0.3,7,0,15,0,15:48:56,,0
6.38E+13,22.6,0.6,7,0,15,0,15:48:57,,0
6.38E+13,22.4,0.4,7,0,15,0,15:48:58,,0.034782609
6.38E+13,22.4,0.4,7,0,15,0,15:48:59,,
6.38E+13,22.1,0.1,7,0,15,0,15:49:01,,
6.38E+13,22.4,0.4,7,0,15,0,15:49:02,,
