TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.5,0.5,7,0,15,0.3,20:51:50,,
6.38E+13,25.5,3.5,7,0,15,0.9,20:51:52,,
6.38E+13,24.6,2.6,7,0,15,0.2,20:51:53,,
6.38E+13,25.9,3.9,7,0,15,0,20:51:54,,0
6.38E+13,24.3,2.3,7,0,15,0.3,20:51:55,,0.3
6.38E+13,22.7,0.7,7,0,15,0,20:51:56,,0
6.38E+13,22,0,7,0,15,0,20:51:57,,0
6.38E+13,23,1,7,0,15,0,20:51:58,,0
6.38E+13,23.4,1.4,7,0,15,0.4,20:52:00,,0.4
6.38E+13,23.8,1.8,7,0,15,0.2,20:52:01,,0.2
6.38E+13,22.8,0.8,7,0,15,0,20:52:02,,0
6.38E+13,23.4,1.4,7,0,15,0,20:52:03,,0
6.38E+13,24.7,2.7,7,0,15,0,20:52:04,,0
6.38E+13,22.9,0.9,7,0,15,0,20:52:05,,0
6.38E+13,22.6,0.6,7,0,15,0,20:52:07,,0
6.38E+13,22.2,0.2,7,0,15,0,20:52:08,,0
6.38E+13,22.4,0.4,7,0,15,0,20:52:09,,0
6.38E+13,22.4,0.4,7,0,15,0,20:52:10,,0
6.38E+13,22.4,0.4,7,0,15,0,20:52:11,,0
6.38E+13,22.6,0.6,7,0,15,0,20:52:12,,0
6.38E+13,22.5,0.5,7,0,15,0,20:52:13,,0
6.38E+13,22.2,0.2,7,0,15,0,20:52:14,,0
6.38E+13,22.2,0.2,7,0,15,0,20:52:15,,0
6.38E+13,22.9,0.9,7,0,15,0,20:52:17,,0
6.38E+13,22.9,0.9,7,0,15,0,20:52:18,,0
6.38E+13,22.6,0.6,7,0,15,0,20:52:19,,0
6.38E+13,22.1,0.1,7,0,15,0,20:52:20,,0.039130435
6.38E+13,22.6,0.6,7,0,15,0,20:52:21,,
6.38E+13,22.5,0.5,7,0,15,0,20:52:22,,
6.38E+13,22.5,0.5,7,0,15,0,20:52:23,,
6.38E+13,23,1,7,0,15,0,20:52:24,,
6.38E+13,22,0,7,0,15,0,20:52:26,,
6.38E+13,22.2,0.2,7,0,15,0,20:52:27,,
6.38E+13,22.6,0.6,7,0,15,0.1,20:52:28,,
6.38E+13,22.9,0.9,7,0,15,0,20:52:29,,
6.38E+13,22,0,7,0,15,0,20:52:30,,
6.38E+13,22.3,0.3,7,0,15,0,20:52:31,,
6.38E+13,22.3,0.3,7,0,15,0,20:52:32,,
6.38E+13,22.1,0.1,7,0,15,0,20:52:33,,
6.38E+13,23.4,1.4,7,0,15,0,20:52:34,,
6.38E+13,22,0,7,0,15,0,20:52:36,,
6.38E+13,22.5,0.5,7,0,15,0,20:52:37,,
6.38E+13,22.6,0.6,7,0,15,0,20:52:38,,
6.38E+13,22.8,0.8,7,0,15,0,20:52:39,,
6.38E+13,23.8,1.8,7,0,15,0,20:52:40,,
6.38E+13,23.3,1.3,7,0,15,0,20:52:41,,
6.38E+13,22,0,7,0,15,0,20:52:42,,
6.38E+13,22.9,0.9,7,0,15,0,20:52:43,,
6.38E+13,23,1,7,0,15,0,20:52:44,,
6.38E+13,22.6,0.6,7,0,15,0,20:52:46,,
6.38E+13,22,0,7,0,15,0,20:52:47,,
