TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,23.3,1.3,7,0,15,0.5,15:41:06,,,
6.38E+13,22.6,0.6,7,0,15,0.1,15:41:07,,,
6.38E+13,25,3,7,0,15,0,15:41:09,,,0
6.38E+13,27.1,4.8,7,0.3,15,0,15:41:10,,,0
6.38E+13,24.5,2.5,7,0,15,0,15:41:11,,,0
6.38E+13,23.5,1.5,7,0,15,0,15:41:12,,,0
6.38E+13,23,1,7,0,15,0.1,15:41:13,,,0.1
6.38E+13,24.9,2.9,7,0,15,0.5,15:41:14,,,0.5
6.38E+13,23.8,1.8,7,0,15,0.1,15:41:15,,,0.1
6.38E+13,23.1,1.1,7,0,15,0,15:41:17,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:18,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:19,,,0
6.38E+13,22.9,0.9,7,0,15,0,15:41:20,,,0
6.38E+13,22.3,0.3,7,0,15,0,15:41:21,,,0
6.38E+13,22.7,0.6,7,0,15,0,15:41:22,,,0
6.38E+13,22.6,0.6,7,0,15,0,15:41:23,,,0
6.38E+13,22,0,7,0,15,0,15:41:24,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:25,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:26,,,0
6.38E+13,22.7,0.7,7,0,15,0,15:41:27,,,0
6.38E+13,22,0,7,0,15,0,15:41:29,,,0
6.38E+13,24,1.9,7,0,15,0,15:41:30,,,0
6.38E+13,22.5,0.5,7,0,15,0,15:41:31,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:32,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:41:33,,,0
6.38E+13,22,0,7,0,15,0,15:41:34,,,0.030434783
6.38E+13,22.7,0.7,7,0,15,0,15:41:35,,,
6.38E+13,22.2,0.2,7,0,15,0,15:41:36,,,
6.38E+13,22.1,0.1,7,0,15,0,15:41:37,,,
6.38E+13,22.7,0.7,7,0,15,0,15:41:39,,,
6.38E+13,23.1,1.1,7,0,15,0,15:41:40,,,
6.38E+13,22,0,7,0,15,0,15:41:41,,,
6.38E+13,22.5,0.5,7,0,15,0,15:41:42,,,
6.38E+13,22.4,0.4,7,0,15,0,15:41:43,,,
6.38E+13,22.6,0.6,7,0,15,0,15:41:44,,,
6.38E+13,22.3,0.3,7,0,15,0,15:41:45,,,
6.38E+13,22.2,0.2,7,0,15,0,15:41:46,,,
6.38E+13,22.8,0.8,7,0,15,0,15:41:47,,,
6.38E+13,22.2,0.2,7,0,15,0,15:41:48,,,
6.38E+13,22,0,7,0,15,0,15:41:50,,,
6.38E+13,22.3,0.3,7,0,15,0,15:41:51,,,
