TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.6,0.6,7,0,15,0.1,21:00:09,,
6.38E+13,23.2,1.2,7,0,15,0.2,21:00:10,,
6.38E+13,22.4,0.4,7,0,15,0.1,21:00:11,,
6.38E+13,23.9,1.9,7,0,15,0.3,21:00:13,,0.3
6.38E+13,26.5,4.5,7,0,15,0,21:00:14,,0
6.38E+13,23.9,1.9,7,0,15,0,21:00:15,,0
6.38E+13,22,0,7,0,15,0,21:00:16,,0
6.38E+13,23.1,1.1,7,0,15,0.1,21:00:17,,0.1
6.38E+13,22.8,0.7,7,0,15,0,21:00:18,,0
6.38E+13,22.6,0.6,7,0,15,0.2,21:00:19,,0.2
6.38E+13,24.1,2.1,7,0,15,0.4,21:00:21,,0.4
6.38E+13,23.2,1.2,7,0,15,0,21:00:22,,0
6.38E+13,22.6,0.6,7,0,15,0,21:00:23,,0
6.38E+13,22.6,0.6,7,0,15,0,21:00:24,,0
6.38E+13,22.9,0.9,7,0,15,0,21:00:25,,0
6.38E+13,22,0,7,0,15,0,21:00:26,,0
6.38E+13,22.5,0.5,7,0,15,0,21:00:27,,0
6.38E+13,22.4,0.4,7,0,15,0,21:00:28,,0
6.38E+13,22.2,0.2,7,0,15,0,21:00:30,,0
6.38E+13,22.4,0.4,7,0,15,0,21:00:31,,0
6.38E+13,22.4,0.4,7,0,15,0,21:00:32,,0
6.38E+13,22.6,0.6,7,0,15,0,21:00:33,,0
6.38E+13,22.9,0.9,7,0,15,0,21:00:34,,0
6.38E+13,22.8,0.8,7,0,15,0,21:00:35,,0
6.38E+13,22.6,0.6,7,0,15,0,21:00:36,,0
6.38E+13,22.1,0.1,7,0,15,0,21:00:37,,0
6.38E+13,22.7,0.7,7,0,15,0,21:00:38,,0.043478261
6.38E+13,22,0,7,0,15,0,21:00:40,,
6.38E+13,22.9,0.9,7,0,15,0,21:00:41,,
6.38E+13,22.1,0.1,7,0,15,0,21:00:42,,
6.38E+13,22.7,0.7,7,0,15,0,21:00:43,,
6.38E+13,22.2,0.2,7,0,15,0,21:00:44,,
6.38E+13,23,1,7,0,15,0,21:00:45,,
6.38E+13,24.6,2.6,7,0,15,0.1,21:00:46,,
6.38E+13,22.9,0.9,7,0,15,0,21:00:47,,
6.38E+13,22.9,0.9,7,0,15,0,21:00:49,,
6.38E+13,22.3,0.3,7,0,15,0,21:00:50,,
