TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.7,0.7,7,0,15,0,19:46:20,,
6.38E+13,23.5,1.5,7,0,15,0.1,19:46:21,,
6.38E+13,23.8,1.8,7,0,15,0.2,19:46:22,,
6.38E+13,25.4,3.4,7,0,15,0.1,19:46:23,,0.1
6.38E+13,24.8,2.8,7,0,15,0.2,19:46:24,,0.2
6.38E+13,22,0,7,0,15,0.1,19:46:25,,0.1
6.38E+13,22.8,0.8,7,0,15,0.1,19:46:26,,0.1
6.38E+13,22.4,0.4,7,0,15,0.1,19:46:27,,0.1
6.38E+13,23.5,1.5,7,0,15,0.2,19:46:29,,0.2
6.38E+13,23.3,1.3,7,0,15,0,19:46:30,,0
6.38E+13,22.3,0.3,7,0,15,0,19:46:31,,0
6.38E+13,23,1,7,0,15,0,19:46:32,,0
6.38E+13,22,0,7,0,15,0,19:46:33,,0
6.38E+13,23.1,1.1,7,0,15,0,19:46:34,,0
6.38E+13,22.3,0.3,7,0,15,0,19:46:35,,0
6.38E+13,22.1,0.1,7,0,15,0,19:46:36,,0
6.38E+13,22.6,0.6,7,0,15,0,19:46:37,,0
6.38E+13,22.7,0.6,7,0,15,0.1,19:46:39,,0.1
6.38E+13,22,0,7,0,15,0,19:46:40,,0
6.38E+13,22.9,0.9,7,0,15,0,19:46:41,,0
6.38E+13,24.1,2.1,7,0,15,0.5,19:46:42,,0.5
6.38E+13,22.8,0.8,7,0,15,0,19:46:43,,0
6.38E+13,22.7,0.7,7,0,15,0,19:46:44,,0
6.38E+13,22,0,7,0,15,0,19:46:45,,0
6.38E+13,22.8,0.8,7,0,15,0,19:46:46,,0
6.38E+13,22.7,0.7,7,0,15,0,19:46:48,,0
6.38E+13,22.7,0.7,7,0,15,0,19:46:49,,0.060869565
6.38E+13,23.2,1.2,7,0,15,0.4,19:46:50,,
6.38E+13,22.4,0.4,7,0,15,0.4,19:46:51,,
6.38E+13,24.2,2.2,7,0,15,0,19:46:52,,
6.38E+13,22.6,0.6,7,0,15,0,19:46:53,,
6.38E+13,23,1,7,0,15,0,19:46:54,,
6.38E+13,22,0,7,0,15,0,19:46:55,,
6.38E+13,22.7,0.7,7,0,15,0,19:46:57,,
6.38E+13,22.5,0.5,7,0,15,0,19:46:58,,
6.38E+13,23.5,1.5,7,0,15,0,19:46:59,,
6.38E+13,22.7,0.7,7,0,15,0,19:47:00,,
6.38E+13,22.8,0.8,7,0,15,0,19:47:01,,
6.38E+13,22.4,0.4,7,0,15,0,19:47:02,,
6.38E+13,22.6,0.6,7,0,15,0,19:47:03,,
