TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,23.6,1.6,7,0,15,0.6,19:08:34,,
6.38E+13,23.6,1.6,7,0,15,0.4,19:08:35,,
6.38E+13,22.1,0.1,7,0,15,0.2,19:08:36,,
6.38E+13,22.9,0.9,7,0,15,0.2,19:08:37,,
6.38E+13,25.7,3.7,7,0,15,0.1,19:08:39,,0.1
6.38E+13,24.2,2.2,7,0,15,0.1,19:08:40,,0.1
6.38E+13,23.5,1.5,7,0,15,0,19:08:41,,0
6.38E+13,23.1,1.1,7,0,15,0,19:08:42,,0
6.38E+13,22.3,0.3,7,0,15,0,19:08:43,,0
6.38E+13,23.5,1.5,7,0,15,0.3,19:08:44,,0.3
6.38E+13,23,0.9,7,0,15,0,19:08:45,,0
6.38E+13,22.6,0.6,7,0,15,0,19:08:46,,0
6.38E+13,22.8,0.8,7,0,15,0,19:08:47,,0
6.38E+13,22.2,0.2,7,0,15,0,19:08:49,,0
6.38E+13,22.8,0.8,7,0,15,0,19:08:50,,0
6.38E+13,22.6,0.6,7,0,15,0,19:08:51,,0
6.38E+13,22.5,0.5,7,0,15,0,19:08:52,,0
6.38E+13,22.2,0.2,7,0,15,0,19:08:53,,0
6.38E+13,22,0,7,0,15,0,19:08:54,,0
6.38E+13,22.9,0.9,7,0,15,0,19:08:55,,0
6.38E+13,22.4,0.4,7,0,15,0,19:08:56,,0
6.38E+13,22.7,0.7,7,0,15,0,19:08:57,,0
6.38E+13,23.5,1.5,7,0,15,0,19:08:59,,0
6.38E+13,22.6,0.6,7,0,15,0,19:09:00,,0
6.38E+13,23.4,1.4,7,0,15,0.2,19:09:01,,0.2
6.38E+13,22.7,0.7,7,0,15,0,19:09:02,,0
6.38E+13,22.4,0.4,7,0,15,0,19:09:03,,0
6.38E+13,22.5,0.5,7,0,15,0,19:09:04,,0.030434783
6.38E+13,22.3,0.3,7,0,15,0.1,19:09:05,,
6.38E+13,23.8,1.8,7,0,15,0.3,19:09:06,,
6.38E+13,22.6,0.6,7,0,15,0,19:09:07,,
