TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.6,0.6,7,0,15,0,19:12:46,,
6.38E+13,23.5,1.5,7,0,15,0.3,19:12:47,,
6.38E+13,24.1,2.1,7,0,15,0.1,19:12:49,,0.1
6.38E+13,26,4,7,0,15,0.1,19:12:50,,0.1
6.38E+13,24,2,7,0,15,0.1,19:12:51,,0.1
6.38E+13,22.6,0.6,7,0,15,0,19:12:52,,0
6.38E+13,22.6,0.6,7,0,15,0.1,19:12:53,,0.1
6.38E+13,23.2,1.2,7,0,15,0,19:12:54,,0
6.38E+13,22.2,0.2,7,0,15,0,19:12:55,,0
6.38E+13,23.4,1.4,7,0,15,0.1,19:12:56,,0.1
6.38E+13,22.8,0.8,7,0,15,0,19:12:57,,0
6.38E+13,23.4,1.4,7,0,15,0,19:12:59,,0
6.38E+13,22,0,7,0,15,0,19:13:00,,0
6.38E+13,22.8,0.8,7,0,15,0,19:13:01,,0
6.38E+13,22.5,0.5,7,0,15,0,19:13:02,,0
6.38E+13,22.8,0.8,7,0,15,0,19:13:03,,0
6.38E+13,23,1,7,0,15,0,19:13:04,,0
6.38E+13,22.1,0.1,7,0,15,0,19:13:05,,0
6.38E+13,22.1,0.1,7,0,15,0,19:13:06,,0
6.38E+13,22.8,0.8,7,0,15,0,19:13:07,,0
6.38E+13,22.1,0.1,7,0,15,0,19:13:09,,0
6.38E+13,22.5,0.5,7,0,15,0,19:13:10,,0
6.38E+13,22.5,0.5,7,0,15,0,19:13:11,,0
6.38E+13,22.6,0.6,7,0,15,0,19:13:12,,0
6.38E+13,22.5,0.5,7,0,15,0,19:13:13,,0
6.38E+13,22.2,0.2,7,0,15,0,19:13:14,,0.02173913
6.38E+13,22.4,0.4,7,0,15,0,19:13:15,,
6.38E+13,23.1,1.1,7,0,15,0,19:13:16,,
6.38E+13,22.8,0.8,7,0,15,0,19:13:17,,
6.38E+13,23.1,1.1,7,0,15,0,19:13:19,,
6.38E+13,22.5,0.5,7,0,15,0,19:13:20,,
6.38E+13,22.5,0.5,7,0,15,0,19:13:21,,
6.38E+13,22.6,0.6,7,0,15,0,19:13:22,,
6.38E+13,22.3,0.3,7,0,15,0,19:13:23,,
6.38E+13,22.4,0.4,7,0,15,0,19:13:24,,
6.38E+13,22.5,0.5,7,0,15,0,19:13:25,,
6.38E+13,22.3,0.3,7,0,15,0,19:13:26,,
6.38E+13,22.9,0.9,7,0,15,0,19:13:27,,
6.38E+13,22,0,7,0,15,0,19:13:28,,
6.38E+13,22.5,0.5,7,0,15,0,19:13:30,,
6.38E+13,23.8,1.8,7,0,15,0,19:13:31,,
6.38E+13,22.7,0.7,7,0,15,0,19:13:32,,
6.38E+13,22.5,0.5,7,0,15,0,19:13:33,,
6.38E+13,22.3,0.3,7,0,15,0,19:13:34,,
6.38E+13,22.9,0.9,7,0,15,0,19:13:35,,
6.38E+13,22.3,0.3,7,0,15,0,19:13:36,,
6.38E+13,22,0,7,0,15,0,19:13:37,,
6.38E+13,23,1,7,0,15,0,19:13:38,,
6.38E+13,22.4,0.4,7,0,15,0,19:13:40,,
6.38E+13,22.9,0.9,7,0,15,0,19:13:41,,
6.38E+13,22.1,0.1,7,0,15,0,19:13:42,,
6.38E+13,22.4,0.4,7,0,15,0,19:13:43,,
6.38E+13,22.6,0.6,7,0,15,0,19:13:44,,
