TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,23.4,1.4,7,0,15,0.1,19:36:10,,
6.38E+13,23.4,1.4,7,0,15,0.2,19:36:11,,
6.38E+13,22.9,0.9,7,0,15,0,19:36:12,,
6.38E+13,25.2,3.2,7,0,15,0.1,19:36:13,,0.1
6.38E+13,23.9,1.9,7,0,15,0.3,19:36:14,,0.3
6.38E+13,22.9,0.9,7,0,15,0.1,19:36:15,,0.1
6.38E+13,22.7,0.7,7,0,15,0.1,19:36:17,,0.1
6.38E+13,22.7,0.7,7,0,15,0.1,19:36:18,,0.1
6.38E+13,23.9,1.9,7,0,15,0.4,19:36:19,,0.4
6.38E+13,23,1,7,0,15,0.1,19:36:20,,0.1
6.38E+13,22.3,0.3,7,0,15,0,19:36:21,,0
6.38E+13,23,1,7,0,15,0,19:36:22,,0
6.38E+13,22,0,7,0,15,0,19:36:23,,0
6.38E+13,22.5,0.5,7,0,15,0,19:36:24,,0
6.38E+13,22.6,0.6,7,0,15,0,19:36:25,,0
6.38E+13,22.4,0.4,7,0,15,0,19:36:27,,0
6.38E+13,22,0,7,0,15,0,19:36:28,,0
6.38E+13,22.5,0.5,7,0,15,0,19:36:29,,0
6.38E+13,23,1,7,0,15,0,19:36:30,,0
6.38E+13,23,1,7,0,15,0,19:36:31,,0
6.38E+13,23.3,1.3,7,0,15,0,19:36:32,,0
6.38E+13,22.8,0.8,7,0,15,0,19:36:33,,0
6.38E+13,22.3,0.3,7,0,15,0,19:36:34,,0
6.38E+13,22.5,0.5,7,0,15,0,19:36:36,,0
6.38E+13,22.3,0.3,7,0,15,0,19:36:37,,0
6.38E+13,22.6,0.6,7,0,15,0,19:36:38,,0
6.38E+13,22.5,0.5,7,0,15,0,19:36:39,,0.052173913
6.38E+13,25.5,3.5,7,0,15,0,19:36:40,,
6.38E+13,25.8,3.8,7,0,15,0.1,19:36:41,,
6.38E+13,26,4,7,0,15,0,19:36:42,,
6.38E+13,22.6,0.6,7,0,15,0,19:36:43,,
6.38E+13,22,0,7,0,15,0,19:36:44,,
6.38E+13,23.2,1.2,7,0,15,0,19:36:46,,
6.38E+13,24.2,2.2,7,0,15,0.2,19:36:47,,
6.38E+13,23.3,1.3,7,0,15,0.1,19:36:48,,
6.38E+13,22.2,0.2,7,0,15,0,19:36:49,,
6.38E+13,23.5,1.5,7,0,15,0,19:36:50,,
6.38E+13,22.3,0.3,7,0,15,0,19:36:51,,
6.38E+13,22.5,0.5,7,0,15,0,19:36:52,,
6.38E+13,22.3,0.3,7,0,15,0,19:36:54,,
6.38E+13,22.5,0.5,7,0,15,0,19:36:55,,
6.38E+13,22.6,0.6,7,0,15,0,19:36:56,,
6.38E+13,23,1,7,0,15,0,19:36:57,,
6.38E+13,22,0,7,0,15,0,19:36:58,,
6.38E+13,23.1,1.1,7,0,15,0,19:36:59,,
6.38E+13,23.3,1.3,7,0,15,0,19:37:00,,
6.38E+13,23.2,1.2,7,0,15,0,19:37:01,,
6.38E+13,22.7,0.7,7,0,15,0,19:37:02,,
