TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.7,0.7,7,0,15,0,19:48:17,,
6.38E+13,23.3,1.3,7,0,15,0.3,19:48:18,,
6.38E+13,23.5,1.5,7,0,15,0.1,19:48:19,,
6.38E+13,24.7,2.7,7,0.1,15,0.1,19:48:20,,0.1
6.38E+13,27.7,5.7,7,0,15,2.3,19:48:21,,2.3
6.38E+13,23.4,1.4,7,0,15,0.7,19:48:22,,0.7
6.38E+13,22.7,0.7,7,0,15,0.2,19:48:24,,0.2
6.38E+13,25,3,7,0,15,2.2,19:48:25,,2.2
6.38E+13,22.9,0.9,7,0,15,0,19:48:26,,0
6.38E+13,22.1,0.1,7,0,15,0,19:48:27,,0
6.38E+13,22.4,0.4,7,0,15,0,19:48:28,,0
6.38E+13,22.7,0.7,7,0,15,0,19:48:29,,0
6.38E+13,22.4,0.4,7,0,15,0,19:48:30,,0
6.38E+13,23,1,7,0,15,0,19:48:31,,0
6.38E+13,22.4,0.4,7,0,15,0,19:48:32,,0
6.38E+13,22.7,0.7,7,0,15,0.3,19:48:34,,0.3
6.38E+13,22.6,0.6,7,0,15,0,19:48:35,,0
6.38E+13,22.8,0.8,7,0,15,0,19:48:36,,0
6.38E+13,22.3,0.3,7,0,15,0,19:48:37,,0
6.38E+13,23.3,1.3,7,0,15,0.1,19:48:38,,0.1
6.38E+13,22.1,0.1,7,0,15,0.1,19:48:39,,0.1
6.38E+13,23.5,1.5,7,0,15,0,19:48:40,,0
6.38E+13,22.6,0.6,7,0,15,0.5,19:48:41,,0.5
6.38E+13,22.4,0.4,7,0,15,0,19:48:42,,0
6.38E+13,22.7,0.7,7,0,15,0,19:48:43,,0
6.38E+13,22.2,0.2,7,0,15,0,19:48:45,,0
6.38E+13,22.5,0.5,7,0,15,0,19:48:46,,0.282608696
6.38E+13,22.2,0.2,7,0,15,0,19:48:47,,
6.38E+13,22.4,0.4,7,0,15,0,19:48:48,,
6.38E+13,22.6,0.5,7,0,15,0,19:48:49,,
6.38E+13,22.9,0.9,7,0,15,0,19:48:50,,
6.38E+13,22.7,0.7,7,0,15,0,19:48:51,,
6.38E+13,22.4,0.4,7,0,15,0,19:48:52,,
6.38E+13,24.7,2.7,7,0,15,0.4,19:48:53,,
6.38E+13,22.7,0.7,7,0,15,0.1,19:48:55,,
6.38E+13,22.6,0.6,7,0,15,0,19:48:56,,
6.38E+13,22.7,0.7,7,0,15,0,19:48:57,,
6.38E+13,22.5,0.5,7,0,15,0,19:48:58,,
6.38E+13,22.5,0.5,7,0,15,0,19:48:59,,
6.38E+13,22.9,0.9,7,0,15,0,19:49:00,,
6.38E+13,22.2,0.2,7,0,15,0,19:49:01,,
6.38E+13,22.7,0.7,7,0,15,0,19:49:02,,
6.38E+13,22.6,0.6,7,0,15,0,19:49:03,,
