TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.9,0.9,7,0,15,0.2,19:05:35,,
6.38E+13,23.3,1.3,7,0,15,0.1,19:05:36,,
6.38E+13,25,3,7,0,15,0.8,19:05:37,,0.8
6.38E+13,27.5,5.5,7,0,15,0.1,19:05:39,,0.1
6.38E+13,22.8,0.8,7,0,15,0,19:05:40,,0
6.38E+13,23.1,1.1,7,0,15,0.2,19:05:41,,0.2
6.38E+13,22.9,0.9,7,0,15,0.1,19:05:42,,0.1
6.38E+13,22.7,0.7,7,0,15,0.1,19:05:43,,0.1
6.38E+13,22.2,0.2,7,0,15,0,19:05:44,,0
6.38E+13,22.4,0.4,7,0,15,0.1,19:05:45,,0.1
6.38E+13,22.9,0.9,7,0,15,0,19:05:46,,0
6.38E+13,23,1,7,0,15,0.2,19:05:48,,0.2
6.38E+13,23.4,1.4,7,0,15,0.2,19:05:49,,0.2
6.38E+13,24.1,2.1,7,0,15,0,19:05:50,,0
6.38E+13,22.8,0.8,7,0,15,0,19:05:51,,0
6.38E+13,22.3,0.3,7,0,15,0,19:05:52,,0
6.38E+13,22.5,0.5,7,0,15,0,19:05:53,,0
6.38E+13,22.9,0.9,7,0,15,0,19:05:54,,0
6.38E+13,22.1,0.1,7,0,15,0,19:05:55,,0
6.38E+13,22.8,0.8,7,0,15,0,19:05:57,,0
6.38E+13,22.7,0.7,7,0,15,0,19:05:58,,0
6.38E+13,22.7,0.7,7,0,15,0,19:05:59,,0
6.38E+13,22.2,0.2,7,0,15,0,19:06:00,,0
6.38E+13,23.1,1.1,7,0,15,0,19:06:01,,0
6.38E+13,22.2,0.2,7,0,15,0,19:06:02,,0
6.38E+13,22.5,0.5,7,0,15,0,19:06:03,,0.07826087
6.38E+13,22.7,0.7,7,0,15,0,19:06:04,,
6.38E+13,22.1,0.1,7,0,15,0,19:06:05,,
6.38E+13,22.3,0.3,7,0,15,0,19:06:07,,
6.38E+13,22.5,0.5,7,0,15,0,19:06:08,,
6.38E+13,22.8,0.8,7,0,15,0,19:06:09,,
6.38E+13,23.1,1.1,7,0,15,0,19:06:10,,
6.38E+13,22.4,0.4,7,0,15,0,19:06:11,,
6.38E+13,22.1,0.1,7,0,15,0,19:06:12,,
6.38E+13,22.4,0.4,7,0,15,0,19:06:13,,
6.38E+13,22.7,0.7,7,0,15,0,19:06:14,,
6.38E+13,22.4,0.4,7,0,15,0,19:06:16,,
6.38E+13,23.1,1.1,7,0,15,0,19:06:17,,
6.38E+13,23,1,7,0,15,0,19:06:18,,
6.38E+13,23.2,1.2,7,0,15,0,19:06:19,,
6.38E+13,22.5,0.5,7,0,15,0,19:06:20,,
6.38E+13,22.5,0.5,7,0,15,0,19:06:21,,
