TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,23,1,7,0,15,0,19:25:39,,
6.38E+13,23.7,1.7,7,0,15,0,19:25:40,,
6.38E+13,23.4,1.4,7,0,15,0,19:25:41,,
6.38E+13,23,1,7,0,15,0.2,19:25:43,,0.2
6.38E+13,25,3,7,0,15,0.1,19:25:44,,0.1
6.38E+13,24.4,2.4,7,0,15,0.1,19:25:45,,0.1
6.38E+13,23.2,1.2,7,0,15,0,19:25:46,,0
6.38E+13,22.7,0.7,7,0,15,0.1,19:25:47,,0.1
6.38E+13,22.2,0.2,7,0,15,0.1,19:25:48,,0.1
6.38E+13,23.8,1.8,7,0,15,0.1,19:25:49,,0.1
6.38E+13,22.7,0.7,7,0,15,0,19:25:51,,0
6.38E+13,22.8,0.8,7,0,15,0,19:25:52,,0
6.38E+13,22.6,0.6,7,0,15,0,19:25:53,,0
6.38E+13,22.2,0.2,7,0,15,0,19:25:54,,0
6.38E+13,22.6,0.6,7,0,15,0,19:25:55,,0
6.38E+13,22.2,0.2,7,0,15,0,19:25:56,,0
6.38E+13,22.3,0.3,7,0,15,0,19:25:57,,0
6.38E+13,22.2,0.2,7,0,15,0,19:25:58,,0
6.38E+13,22.7,0.7,7,0,15,0,19:26:00,,0
6.38E+13,22.7,0.7,7,0,15,0,19:26:01,,0
6.38E+13,22.4,0.4,7,0,15,0,19:26:02,,0
6.38E+13,23.2,1.2,7,0,15,0,19:26:03,,0
6.38E+13,22.4,0.4,7,0,15,0,19:26:04,,0
6.38E+13,22.4,0.4,7,0,15,0,19:26:05,,0
6.38E+13,22.5,0.5,7,0,15,0,19:26:06,,0
6.38E+13,23.4,1.4,7,0,15,0,19:26:07,,0
6.38E+13,22.1,0.1,7,0,15,0,19:26:08,,0.030434783
6.38E+13,22.4,0.4,7,0,15,0,19:26:10,,
6.38E+13,23.1,1.1,7,0,15,0,19:26:11,,
6.38E+13,22.2,0.2,7,0,15,0,19:26:12,,
6.38E+13,22.1,0.1,7,0,15,0,19:26:13,,
6.38E+13,22.2,0.2,7,0,15,0,19:26:14,,
6.38E+13,23.5,1.5,7,0,15,0,19:26:15,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:16,,
6.38E+13,22.6,0.6,7,0,15,0,19:26:17,,
6.38E+13,22.6,0.6,7,0,15,0,19:26:19,,
6.38E+13,22.6,0.6,7,0,15,0,19:26:20,,
6.38E+13,22.4,0.4,7,0,15,0,19:26:21,,
6.38E+13,25,3,7,0,15,0,19:26:22,,
6.38E+13,22.1,0.1,7,0,15,0,19:26:23,,
6.38E+13,22.4,0.4,7,0,15,0,19:26:24,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:25,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:26,,
6.38E+13,22.5,0.4,7,0,15,0,19:26:27,,
6.38E+13,22.2,0.2,7,0,15,0,19:26:29,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:30,,
6.38E+13,23.3,1.3,7,0,15,0,19:26:31,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:32,,
6.38E+13,22.6,0.6,7,0,15,0,19:26:33,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:34,,
6.38E+13,22.7,0.7,7,0,15,0,19:26:35,,
6.38E+13,22,0,7,0,15,0,19:26:36,,
6.38E+13,22.9,0.9,7,0,15,0,19:26:38,,
6.38E+13,22.2,0.1,7,0,15,0,19:26:39,,
6.38E+13,23,1,7,0,15,0,19:26:40,,
6.38E+13,22.6,0.6,7,0,15,0.1,19:26:41,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:42,,
6.38E+13,22.4,0.4,7,0,15,0,19:26:43,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:44,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:45,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:46,,
6.38E+13,22.5,0.5,7,0,15,0,19:26:48,,
6.38E+13,22.7,0.7,7,0,15,0,19:26:49,,
6.38E+13,22.9,0.8,7,0,15,0,19:26:50,,
6.38E+13,22,0,7,0,15,0,19:26:51,,
6.38E+13,22.3,0.3,7,0,15,0,19:26:52,,
6.38E+13,23,1,7,0,15,0,19:26:53,,
